Sample ID,Cruise ID,Station,Polymer,Depth_label,Depth(m),Timepoint,replicate_timepoint,incubation_time(hours),Date_inject,volume_inject_uL,Area,CO2_area_nmol,headspace_volume,CO2_in_bottle_umol,delta_13C,co2_average,co2_stdev,mean_delta_13C,sd_delta_13c
N2104023,PE480,st04,PP,-,10,t0,5,0,4/9/2021,20,1105.5,24.98,45,56.205,294.901,55.656,2.913841214788479,296.6426,17.296622800419733
N2104024,PE480,st04,PP,D10,NA,t1,1,24,4/9/2021,20,1088.5,24.6,45,55.35,98.127,55.77,0.970721381241808,170.779,125.03414464857188
N2104025,PE480,st04,PP,D10,NA,t1,2,24,4/9/2021,20,1118.5,25.28,45,56.88,315.155,55.77,0.970721381241808,170.779,125.03414464857188
N2104026,PE480,st04,PP,D10,NA,t1,3,24,4/9/2021,20,1083.3,24.48,45,55.08,99.055,55.77,0.970721381241808,170.779,125.03414464857188
N2104092,PE480,st04,PP,D10,NA,t3,1,144,4/14/2021,50,3053.7,69.01,45,62.109,139.657,63.825,1.8007723343054787,164.174,37.647141976516615
N2104093,PE480,st04,PP,D10,NA,t3,2,144,4/14/2021,50,3230.1,73,45,65.7,207.521,63.825,1.8007723343054787,164.174,37.647141976516615
N2104096,PE480,st04,PP,D10,NA,t3,3,144,4/14/2021,50,3129.9,70.74,45,63.666,145.344,63.825,1.8007723343054787,164.174,37.647141976516615
N2104133,PE480,st04,PP,D10,NA,t2,1,72,4/15/2021,50,2683.1,60.64,45,54.576,108.852,57.015,2.3952684609454513,115.17933333333333,6.596206814020714
N2104134,PE480,st04,PP,D10,NA,t2,2,72,4/15/2021,50,2807.4,63.45,45,57.105,122.015,57.015,2.3952684609454513,115.17933333333333,6.596206814020714
N2104135,PE480,st04,PP,D10,NA,t2,3,72,4/15/2021,50,2918.8,65.96,45,59.364,114.671,57.015,2.3952684609454513,115.17933333333333,6.596206814020714
N2104167,PE480,st04,background,-,NA,t2,1,72,4/16/2021,50,3028.2,68.44,45,61.596,0.808,63.129,1.3556979752142466,0.56033333333333335,0.3047561867023102
